Object;ID;PACS;SPIRE_MAP;SPIRE_SPARSE;Morphologie;NII_122_em;NII_122_abs;NIII_57;OH_119;OI_63;OI_145;NII_1461;CI_10;CI_21;CO_43;CO_54;CO_65;CO_76;CO_87;CO_98;CO_109;CO_1110;CH_835;HF_10;OH_909;OH_971;OH_1033;H2O_1113;H2O_1115
MGE_4384;1342226189;1;1;0;Ring;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_Â 3438;1342231302;1;0;0;Disk;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_3448;1342231303;1;0;1;Disk;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_3269;1342231738;1;1;0;Ring;0;1;0;0;1;0;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;1;1;1
MGE_3280;1342231739;1;1;0;Ring;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
MGE_3739;1342231740;1;1;0;Ring;1;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;0;0
MGE_3736;1342231741;1;1;0;Disk;1;0;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;0;0
MGE_3719;1342231742;1;0;0;Disk;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_3222;1342231743;1;0;0;Disk;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_3354;1342231744;1;0;0;Disk;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_3360;1342231745;1;0;0;Ring;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_3681;1342231746;1;0;1;Disk;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0
MGE_3670;1342231747;1;0;0;Ring;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_4048;1342238730;1;0;1;2-lobed;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
MGE_4191;1342239689;1;0;0;Disk;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_4206;1342239741;1;0;1;Disk;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_4134;1342239757;1;0;1;Disk;1;0;1;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
MGE_4121;1342240165;1;0;1;Ring;1;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1
MGE_3899;1342241267;1;0;0;Disk;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_4552;1342242444;1;0;0;Disk;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_4095;1342240166;1;0;0;2-lobed;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
MGE_4218;1342240167;1;0;0;Disk;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_4436;1342242445;1;0;0;Disk;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_4486;1342242446;1;0;0;Disk;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_4485;1342243105;1;1;0;Galaxy;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1
MGE_4111;1342243106;1;1;0;Ring;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0
MGE_4110;1342243107;1;0;0;Disk;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_4204;1342243108;1;1;0;Disk;0;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_4473;1342243507;1;0;0;Disk;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_3149;1342243505;1;0;1;Disk;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_4602;1342243506;1;0;1;Disk;1;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_4524;1342243507;1;0;1;Disk;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0
MGE_3834;1342243901;1;0;0;2-lobed;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_4239;1342250917;1;0;0;Disk;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MGE_4167;1342252270;1;0;0;Ring;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0